state_id,sku_id,product_key,style_code,brand,category,product_name,week_of,days_of_supply,stock_coverage_ratio,stockout_risk,total_qty,inventory_vs_median,current_margin_pct,discount_depth_last_30d,days_since_last_discount,days_at_current_price,retail_price_usd,price_gap_pct,competitors_on_sale,competitors_out_of_stock,num_competitors,market_position,days_since_launch,season_sell_through_pct,brand_tier,cost_price_usd,seasonality_score,category_seasonal_boost,event_proximity_score,next_month_seasonality,cash_runway_months,cash_tight,inventory_intensity,match_type,match_score,inventory_history_quality,has_competitor_data,competitor_min_price_usd,competitor_avg_price_usd,competitor_max_price_usd,sales_units_last_28d,avg_daily_sales_28d,competitor_price_trend_4w,competitor_sale_frequency_4w,competitor_oos_frequency_4w,price_gap_volatility_4w,stock_velocity_4w,sell_through_velocity_4w,days_since_competitor_change,rules_label,row_source,is_augmented,augmentation_family,anchor_state_id,sample_weight_hint,ai_label,expected_label,ai_label_confidence,label_confidence,ai_label_rationale,audit_flags,label_prompt_version,labeler_model,labeled_at,ai_label_disagrees_with_rules,data_source,synthetic_is_augmented,synthetic_target_label,synthetic_anchor_state_id,synthetic_mutation_profile,ai_score_hold,ai_score_markdown,ai_score_promote,ai_score_clear
SP-0246864EFD|2026-05-19,SP-0246864EFD,,JL5081,Adidas,apparel,Adidas Workout Essentials Woven Women Training Pant Black,2026-05-19,0.0,0.0,1,0,1.0,51.27,0.0,999,30,75.36,0.4958,1,1,2,premium,0,1.0,tier1,36.72,1.15,0.0,0.0,1.2,3.0,0,0.8224,exact_style,0.7984,movement_reconstructed,1,38.0,5.8469,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,HOLD,rds_snapshot_history,0,,,1.0,HOLD,HOLD,0.6467,0.6467,no urgent pricing intervention is needed,low_stock|overpriced|low_label_confidence,business_only_retail_pricing_v1,deterministic_business_heuristic,2026-06-06T07:35:43.063753+00:00,0,real,0,,,,0.5431,0.6484,0.2363,0.0976
SP-0246864EFD|2026-05-26,SP-0246864EFD,,JL5081,Adidas,apparel,Adidas Workout Essentials Woven Women Training Pant Black,2026-05-26,53.2,1.77,0,14,1.0,51.27,0.0,999,30,75.36,0.4958,1,1,2,premium,0,0.0,tier1,36.72,1.15,0.0,0.0,1.2,3.0,0,0.8224,exact_style,0.7864,movement_reconstructed,1,38.0,6.4885,76.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,-1.0,7,HOLD,rds_snapshot_history,0,,,1.0,MARKDOWN,MARKDOWN,0.747,0.747,priced above market by 50%; competitors are discounting; margin can support a markdown,low_stock|overpriced,business_only_retail_pricing_v1,deterministic_business_heuristic,2026-06-06T07:35:43.063753+00:00,1,real,0,,,,0.7225,0.8684,0.452,0.3776
SP-02EF4F091B|2026-05-19,SP-02EF4F091B,,IN238166,New Balance,apparel,New Balance Athletics Graffiti Graphic Kids-Girls Lifestyle T-Shirt Caviar/Pink,2026-05-19,0.0,0.0,1,0,1.0,48.67,0.0,999,30,33.41,-0.0476,0,1,1,at_market,0,1.0,tier1,17.15,1.15,0.0,0.0,1.2,3.0,0,0.8224,same_model_family,0.7825,movement_reconstructed,1,35.0,38.333333333333336,45.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,HOLD,rds_snapshot_history,0,,,1.0,HOLD,HOLD,0.98,0.98,price is close to market; no urgent pricing intervention is needed,low_stock,business_only_retail_pricing_v1,deterministic_business_heuristic,2026-06-06T07:35:43.063753+00:00,0,real,0,,,,0.7631,0.0,0.2554,0.0
SP-02EF4F091B|2026-05-26,SP-02EF4F091B,,IN238166,New Balance,apparel,New Balance Athletics Graffiti Graphic Kids-Girls Lifestyle T-Shirt Caviar/Pink,2026-05-26,51.2,1.71,0,14,1.0,48.67,0.0,999,30,33.41,-0.0476,0,1,1,at_market,0,0.0,tier1,17.15,1.15,0.0,0.0,1.2,3.0,0,0.8224,same_model_family,0.7825,movement_reconstructed,1,35.0,38.333333333333336,45.0,0.0,0.0,0.0,1.0,1.0,0.0,-9.0,-1.0,7,HOLD,rds_snapshot_history,0,,,1.0,HOLD,HOLD,0.98,0.98,inventory position is balanced; price is close to market; no urgent pricing intervention is needed,low_stock,business_only_retail_pricing_v1,deterministic_business_heuristic,2026-06-06T07:35:43.063753+00:00,0,real,0,,,,0.936,0.2064,0.4652,0.2426
SP-03C17880F4|2026-05-19,SP-03C17880F4,,JC8403,Adidas,kids,3 STRIPES TEE,2026-05-19,0.0,0.0,1,0,1.0,57.11,0.0,999,30,39.17,0.1065,1,0,1,above_market,0,1.0,tier1,16.8,1.15,0.0,0.0,1.2,3.0,0,0.8224,exact_style,1.0,movement_reconstructed,1,35.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,HOLD,rds_snapshot_history,0,,,1.0,HOLD,HOLD,0.8118,0.8118,no urgent pricing intervention is needed,low_stock,business_only_retail_pricing_v1,deterministic_business_heuristic,2026-06-06T07:35:43.063753+00:00,0,real,0,,,,0.5787,0.5261,0.2405,0.0728
SP-03C17880F4|2026-05-26,SP-03C17880F4,,JC8403,Adidas,kids,3 STRIPES TEE,2026-05-26,65.4,2.18,0,9,1.0,57.11,0.0,999,30,39.17,0.1065,1,0,1,above_market,0,0.0,tier1,16.8,1.15,0.0,0.0,1.2,3.0,0,0.8224,exact_style,1.0,movement_reconstructed,1,35.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.0,-1.0,7,HOLD,rds_snapshot_history,0,,,1.0,HOLD,HOLD,0.55,0.55,inventory position is balanced; no urgent pricing intervention is needed,low_stock|low_label_confidence,business_only_retail_pricing_v1,deterministic_business_heuristic,2026-06-06T07:35:43.063753+00:00,0,real,0,,,,0.736,0.7461,0.4624,0.3528
SP-043F544E70|2026-05-19,SP-043F544E70,,VN0A38G1ODJ,Vans,lifestyle,Vans Old Skool White,2026-05-19,0.0,0.0,1,0,1.0,44.99,0.0,999,30,77.7,0.0,0,0,0,at_market,0,1.0,tier2,42.74,1.15,0.0,0.0,1.2,3.0,0,0.8224,no_match,0.0,movement_reconstructed,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,HOLD,rds_snapshot_history,0,,,1.0,HOLD,HOLD,0.98,0.98,price is close to market; no urgent pricing intervention is needed,low_stock|weak_competitor_match,business_only_retail_pricing_v1,deterministic_business_heuristic,2026-06-06T07:35:43.063753+00:00,0,real,0,,,,0.8431,0.0,0.1499,0.0
SP-043F544E70|2026-05-26,SP-043F544E70,,VN0A38G1ODJ,Vans,lifestyle,Vans Old Skool White,2026-05-26,87.4,2.91,0,88,1.0,44.99,0.0,999,30,77.7,0.0,0,0,0,at_market,0,0.0,tier2,42.74,1.15,0.0,0.0,1.2,3.0,0,0.8224,no_match,0.0,movement_reconstructed,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.0,-1.0,7,PROMOTE,rds_snapshot_history,0,,,1.0,HOLD,HOLD,0.98,0.98,inventory position is balanced; price is close to market; no urgent pricing intervention is needed,weak_competitor_match,business_only_retail_pricing_v1,deterministic_business_heuristic,2026-06-06T07:35:43.063753+00:00,1,real,0,,,,0.9878,0.1706,0.3289,0.2426
SP-04A2348ABD|2026-05-19,SP-04A2348ABD,,,Nike,lifestyle,Air Zoom Superfly Elite - FG Cleats,2026-05-19,0.0,0.0,1,0,1.0,57.17,0.0,999,30,87.79,0.0,0,0,0,at_market,0,1.0,tier1,37.6,1.15,0.0,0.0,1.2,3.0,0,0.8224,no_match,0.0,movement_reconstructed,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,HOLD,rds_snapshot_history,0,,,1.0,HOLD,HOLD,0.98,0.98,price is close to market; no urgent pricing intervention is needed,low_stock|weak_competitor_match,business_only_retail_pricing_v1,deterministic_business_heuristic,2026-06-06T07:35:43.063753+00:00,0,real,0,,,,0.8431,0.0,0.2108,0.0
SP-04A2348ABD|2026-05-26,SP-04A2348ABD,,,Nike,lifestyle,Air Zoom Superfly Elite - FG Cleats,2026-05-26,98.7,3.29,0,12,1.0,57.17,0.0,999,30,87.79,0.0,0,0,0,at_market,0,0.0,tier1,37.6,1.15,0.0,0.0,1.2,3.0,0,0.8224,no_match,0.0,movement_reconstructed,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-14.0,-1.0,7,HOLD,rds_snapshot_history,0,,,1.0,HOLD,HOLD,0.98,0.98,inventory position is balanced; price is close to market; no urgent pricing intervention is needed,low_stock|weak_competitor_match,business_only_retail_pricing_v1,deterministic_business_heuristic,2026-06-06T07:35:43.063753+00:00,0,real,0,,,,0.9509,0.3462,0.3515,0.2426
SP-04B3889425|2026-05-19,SP-04B3889425,,FM9931,Adidas,accessories,Adidas Performance 0.75 Unisex Training Water Bottle Black,2026-05-19,0.0,0.0,1,0,1.0,56.76,0.0,999,30,14.43,0.0991,2,0,2,above_market,0,1.0,tier1,6.24,1.15,0.0,0.0,1.2,3.0,0,0.8224,exact_style,0.7618,movement_reconstructed,1,13.0,9.7273,33.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,HOLD,rds_snapshot_history,0,,,1.0,HOLD,HOLD,0.8297,0.8297,no urgent pricing intervention is needed,low_stock,business_only_retail_pricing_v1,deterministic_business_heuristic,2026-06-06T07:35:43.063753+00:00,0,real,0,,,,0.585,0.5128,0.2388,0.0689
SP-04B3889425|2026-05-26,SP-04B3889425,,FM9931,Adidas,accessories,Adidas Performance 0.75 Unisex Training Water Bottle Black,2026-05-26,38.5,1.28,0,18,1.0,56.76,0.0,999,30,14.43,0.0991,2,0,2,above_market,0,0.0,tier1,6.24,1.15,0.0,0.0,1.2,3.0,0,0.8224,exact_style,0.766,movement_reconstructed,1,13.0,10.1177,33.0,0.0,0.0,0.0,1.0,1.0,0.0,-10.0,-1.0,7,PROMOTE,rds_snapshot_history,0,,,1.0,MARKDOWN,MARKDOWN,0.5821,0.5821,priced above market by 10%; competitors are discounting; margin can support a markdown,low_label_confidence,business_only_retail_pricing_v1,deterministic_business_heuristic,2026-06-06T07:35:43.063753+00:00,1,real,0,,,,0.7162,0.7328,0.4117,0.3489
SP-0590004E40|2026-05-19,SP-0590004E40,,DB3021,Adidas,lifestyle,"Handball Spezial Shoes, Black",2026-05-19,0.0,0.0,1,0,1.0,50.1,0.0,999,30,152.94,0.4769,2,1,2,premium,0,1.0,tier1,76.32,1.15,0.0,0.0,1.2,3.0,0,0.8224,exact_style,0.8317,movement_reconstructed,1,80.0,114.0003,181.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,HOLD,rds_snapshot_history,0,,,1.0,HOLD,HOLD,0.55,0.55,no urgent pricing intervention is needed,low_stock|overpriced|low_label_confidence,business_only_retail_pricing_v1,deterministic_business_heuristic,2026-06-06T07:35:43.063753+00:00,0,real,0,,,,0.4831,0.743,0.2305,0.1326
SP-0590004E40|2026-05-26,SP-0590004E40,,DB3021,Adidas,lifestyle,"Handball Spezial Shoes, Black",2026-05-26,109.2,3.64,0,12,1.0,50.1,0.0,999,30,152.94,0.4769,2,1,2,premium,0,0.0,tier1,76.32,1.15,0.0,0.0,1.2,3.0,0,0.8224,exact_style,0.8341,movement_reconstructed,1,80.0,119.5245,181.0,0.0,0.0,0.0,1.0,0.0,0.0,-14.0,-1.0,7,HOLD,rds_snapshot_history,0,,,1.0,MARKDOWN,MARKDOWN,0.98,0.98,priced above market by 48%; competitors are discounting; stock cover is elevated (109 DOS),low_stock|overpriced,business_only_retail_pricing_v1,deterministic_business_heuristic,2026-06-06T07:35:43.063753+00:00,1,real,0,,,,0.5565,1.1016,0.3356,0.4126
SP-0669577D6B|2026-05-19,SP-0669577D6B,,555123,Birkenstock,kids,Birkenstock Arizona Kids,2026-05-19,0.0,0.0,1,0,1.0,52.0,0.0,999,30,83.25,0.0,0,0,0,at_market,0,1.0,tier2,39.96,1.15,0.0,0.0,1.2,3.0,0,0.8224,no_match,0.0,movement_reconstructed,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,HOLD,rds_snapshot_history,0,,,1.0,HOLD,HOLD,0.98,0.98,price is close to market; no urgent pricing intervention is needed,low_stock|weak_competitor_match,business_only_retail_pricing_v1,deterministic_business_heuristic,2026-06-06T07:35:43.063753+00:00,0,real,0,,,,0.8431,0.0,0.185,0.0
SP-0669577D6B|2026-05-26,SP-0669577D6B,,555123,Birkenstock,kids,Birkenstock Arizona Kids,2026-05-26,88.4,2.95,0,40,1.0,52.0,0.0,999,30,83.25,0.0,0,0,0,at_market,0,0.0,tier2,39.96,1.15,0.0,0.0,1.2,3.0,0,0.8224,no_match,0.0,movement_reconstructed,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-12.0,-1.0,7,PROMOTE,rds_snapshot_history,0,,,1.0,HOLD,HOLD,0.98,0.98,inventory position is balanced; price is close to market; no urgent pricing intervention is needed,weak_competitor_match,business_only_retail_pricing_v1,deterministic_business_heuristic,2026-06-06T07:35:43.063753+00:00,1,real,0,,,,0.9846,0.2047,0.3605,0.2426
SP-06A343CFF5|2026-05-19,SP-06A343CFF5,,IN233409,ON,sportswear,On Endurance Women Running Bra Heron,2026-05-19,0.0,0.0,1,0,1.0,61.35,0.0,999,30,124.97,0.1598,1,1,1,premium,0,1.0,tier1,48.3,1.15,0.0,0.0,1.2,3.0,0,0.8224,same_model_family,0.8371,movement_reconstructed,1,105.0,125.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,HOLD,rds_snapshot_history,0,,,1.0,HOLD,HOLD,0.5981,0.5981,no urgent pricing intervention is needed,low_stock|overpriced|low_label_confidence,business_only_retail_pricing_v1,deterministic_business_heuristic,2026-06-06T07:35:43.063753+00:00,0,real,0,,,,0.5338,0.6844,0.295,0.1009
SP-06A343CFF5|2026-05-26,SP-06A343CFF5,,IN233409,ON,sportswear,On Endurance Women Running Bra Heron,2026-05-26,109.2,3.64,0,12,1.0,61.35,0.0,999,30,124.97,0.1598,1,1,1,premium,0,0.0,tier1,48.3,1.15,0.0,0.0,1.2,3.0,0,0.8224,same_model_family,0.8166,movement_reconstructed,1,105.0,125.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.0,-1.0,7,HOLD,rds_snapshot_history,0,,,1.0,MARKDOWN,MARKDOWN,0.98,0.98,priced above market by 16%; competitors are discounting; stock cover is elevated (109 DOS),low_stock|overpriced,business_only_retail_pricing_v1,deterministic_business_heuristic,2026-06-06T07:35:43.063753+00:00,1,real,0,,,,0.6072,1.043,0.4001,0.3809
SP-06A4E41C88|2026-05-19,SP-06A4E41C88,,IN213151,ON,apparel,On Climate Men Running Hoody Denim,2026-05-19,0.0,0.0,1,0,1.0,64.28,0.0,999,30,142.95,0.1256,1,1,1,above_market,0,1.0,tier1,51.06,1.15,0.0,0.0,1.2,3.0,0,0.8224,similar_product,0.7502,movement_reconstructed,1,125.0,139.4,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,HOLD,rds_snapshot_history,0,,,1.0,HOLD,HOLD,0.7655,0.7655,no urgent pricing intervention is needed,low_stock|overpriced|weak_competitor_match,business_only_retail_pricing_v1,deterministic_business_heuristic,2026-06-06T07:35:43.063753+00:00,0,real,0,,,,0.5626,0.5604,0.295,0.0829
SP-06A4E41C88|2026-05-26,SP-06A4E41C88,,IN213151,ON,apparel,On Climate Men Running Hoody Denim,2026-05-26,95.0,3.17,0,14,1.0,64.28,0.0,999,30,142.95,0.2235,1,1,1,premium,0,0.0,tier1,51.06,1.15,0.0,0.0,1.2,3.0,0,0.8224,same_model_family,0.7715,movement_reconstructed,1,111.0,140.72549019607845,191.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.0,-1.0,7,HOLD,rds_snapshot_history,0,,,1.0,MARKDOWN,MARKDOWN,0.98,0.98,priced above market by 22%; competitors are discounting; stock cover is elevated (95 DOS),low_stock|overpriced,business_only_retail_pricing_v1,deterministic_business_heuristic,2026-06-06T07:35:43.063753+00:00,1,real,0,,,,0.603,1.1137,0.4482,0.4126
SP-09354499DD|2026-05-19,SP-09354499DD,,IN218636,ON,apparel,On Boxy Club Women Lifestyle T-Shirt White,2026-05-19,0.0,0.0,1,0,1.0,59.4,0.0,999,30,73.65,0.294,1,1,1,premium,0,1.0,tier1,29.9,1.15,0.0,0.0,1.2,3.0,0,0.8224,same_model_family,0.8578,movement_reconstructed,1,52.0,58.75,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,HOLD,rds_snapshot_history,0,,,1.0,HOLD,HOLD,0.55,0.55,no urgent pricing intervention is needed,low_stock|overpriced|low_label_confidence,business_only_retail_pricing_v1,deterministic_business_heuristic,2026-06-06T07:35:43.063753+00:00,0,real,0,,,,0.4831,0.7794,0.295,0.1326
SP-09354499DD|2026-05-26,SP-09354499DD,,IN218636,ON,apparel,On Boxy Club Women Lifestyle T-Shirt White,2026-05-26,61.2,2.04,0,14,1.0,59.4,0.0,999,30,73.65,0.3483,1,1,1,premium,0,0.0,tier1,29.9,1.15,0.0,0.0,1.2,3.0,0,0.8224,same_model_family,0.8188,movement_reconstructed,1,48.0,60.21052631578947,69.0,0.0,0.0,0.0,0.0,0.0,0.0,-28.0,-1.0,7,HOLD,rds_snapshot_history,0,,,1.0,MARKDOWN,MARKDOWN,0.9694,0.9694,priced above market by 35%; competitors are discounting; margin can support a markdown,low_stock|overpriced,business_only_retail_pricing_v1,deterministic_business_heuristic,2026-06-06T07:35:43.063753+00:00,1,real,0,,,,0.6887,0.9994,0.5339,0.4126
SP-09E55BAC3E|2026-05-19,SP-09E55BAC3E,,,Adidas,football_boots,2024 Copa Gloro2,2026-05-19,0.0,0.0,1,0,1.0,48.76,0.0,999,30,65.57,0.0,0,0,0,at_market,0,1.0,tier1,33.6,1.15,0.0,0.0,1.2,3.0,0,0.8224,no_match,0.0,movement_reconstructed,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,HOLD,rds_snapshot_history,0,,,1.0,HOLD,HOLD,0.98,0.98,price is close to market; no urgent pricing intervention is needed,low_stock|weak_competitor_match,business_only_retail_pricing_v1,deterministic_business_heuristic,2026-06-06T07:35:43.063753+00:00,0,real,0,,,,0.8431,0.0,0.1814,0.0
SP-09E55BAC3E|2026-05-26,SP-09E55BAC3E,,,Adidas,football_boots,2024 Copa Gloro2,2026-05-26,89.5,2.98,0,8,1.0,48.76,0.0,999,30,65.57,0.0,0,0,0,at_market,0,0.0,tier1,33.6,1.15,0.0,0.0,1.2,3.0,0,0.8224,no_match,0.0,movement_reconstructed,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-9.0,-1.0,7,HOLD,rds_snapshot_history,0,,,1.0,HOLD,HOLD,0.98,0.98,inventory position is balanced; price is close to market; no urgent pricing intervention is needed,low_stock|weak_competitor_match,business_only_retail_pricing_v1,deterministic_business_heuristic,2026-06-06T07:35:43.063753+00:00,0,real,0,,,,0.9018,0.1916,0.3172,0.2426
